BIBLE	NOSPACE	NOETERNAL	ETERNAL	NOHELL	YESHELL	SHEOL	GEHENNA	HADES	TARTARUS	ABYSS	LOF	END
Holy-Bible---English---Twentieth-Century-NT	0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---Tyndale-Bible	0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---Unlocked-Literal-Bible	0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---Webster-Bible	0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---Webster-Bible-Revised	0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---Weymouth-NT	0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---World-English-Bible	0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---World-English-Bible-British-Edition	0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---World-English-Bible-Updated	0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---World-Messianic-Bible	0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---World-Messianic-Bible-British-Edition	0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---Worsley-Bible	0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---Wycliffe-Bible	0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---Youngs-Literal-Translation	0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---Esperanto---Esperanto-Bible	0		eterneco,eternan,eterna,eterne,eternajn,eternaj,mondo,mondagxo,mondon,mondagxoj,mondagxojn,mondpotenculoj,cxiam,cxiamaj,tempo	infero		SXeolon,Sxeol	Gehena,Gehenan	Hades	kavernojn de mallumo	abismon,abismo	la lagon fajran,la lago, brulanta per fajro	NULL
Holy-Bible---Estonian---Contemporary	0											NULL
Holy-Bible---Estonian---For-All	0											NULL
Holy-Bible---Etulo---Etulo-Bible	0											NULL
Holy-Bible---Ewe---Word-of-Life	0			dzomavɔʋe								NULL
Holy-Bible---Falam---Falam-Chin-Bible	0											NULL
Holy-Bible---Finnish---Finnish-Bible	0		ijankaikkisuudessa,ijankaikkisilla,iankaikkisen,ijäksi,ijankaikkisia,ijankaikkista,ijankaikkisesta,ijankaikkiset,ijankaikkinen,ijankaikkisiin,ijankaikkisesti,ijankaikkiseen,ijankaikkisen,maailmassa,mailman,maailman,maailmalle,maailmasta,maailmaa,maailma,salattu ollut,ajoilla	helvetti,helvettiin,Helvetin,helvetissä,helvetistä,helvettiä	helvetti,helvettiin,Helvetin,helvetissä,helvetistä,helvettiä	helvetti,helvettiin,Helvetin,helvetissä,helvetistä,helvettiä,hautaan,haudan,hauta,tuonelassa,tuonelan	helvetti,helvettiin,Helvetin,helvetissä,helvetistä,helvettiä	helvetti,helvettiin,Helvetin,helvetissä,helvetistä,helvettiä	helvettiin	syvyyteen,syvyyden,syvyydestä	tuliseen järveen,tulikiviseen järveen,joka tulesta	NULL
Holy-Bible---Finnish---Finnish-Pyha-Raamattu	0		iankaikkisissa,iankaikkisuuden,iankaikkisissaiankaikkisuuden,iankaikkisesta,iäksi,ikuisia,ikuisiaiankaikkiselle,iankaikkiselle,iankaikkiseksi,iankaikkisia,aikojen,iäti,iankaikkinen,iankaikkisesti,iankaikkiseen,iankaikkisen,iankaikkista,ikiajoista,maailman,majoihin,maailmanajan,maailmaan,maailmanaikoja,maailmassa,maailmanaikojen,maailmanajasta,maailmanajassa,maailmanaikoina,maailmanvaltiaita,maailma,ajoista,ajoiksi,elävän	helvetti,helvettiin,Helvetin,helvetissä,helvetistä,helvettiä	helvetti,helvettiin,Helvetin,helvetissä,helvetistä,helvettiä	tuonelaan,tuonelan,tuonela-mitä,tuonela,tuonelassa,tuonelasta,tuonelaa	helvetti,helvettiin,Helvetin,helvetissä,helvetistä,helvettiä	helvetti,helvettiin,Helvetin,helvetissä,helvetistä,helvettiä,tuonelaan,tuonelan,tuonela-mitä,tuonela,tuonelassa,tuonelasta,tuonelaa	syvyyteen	syvyyteen,syvyyden,syvyydestä	tuliseen järveen,tuli-ja tulikivijärveen,tulinen järvi,järvessä,joka tulta	NULL
Holy-Bible---Finnish---Open-Living-News	0		ijankaikkisuudessa,ijankaikkisilla,iankaikkisen,ijäksi,ijankaikkisia,ijankaikkista,ijankaikkisesta,ijankaikkiset,ijankaikkinen,ijankaikkisiin,ijankaikkisesti,ijankaikkiseen,ijankaikkisen,maailmassa,mailman,maailman,maailmalle,maailmasta,maailmaa,maailma,salattu ollut,ajoilla	helvetti,helvettiin,Helvetin,helvetissä,helvetistä,helvettiä	helvetti,helvettiin,Helvetin,helvetissä,helvetistä,helvettiä	helvetti,helvettiin,Helvetin,helvetissä,helvetistä,helvettiä,hautaan,haudan,hauta,tuonelassa,tuonelan	helvetti,helvettiin,Helvetin,helvetissä,helvetistä,helvettiä	helvetti,helvettiin,Helvetin,helvetissä,helvetistä,helvettiä	helvettiin	syvyyteen,syvyyden,syvyydestä	tuliseen järveen,tulikiviseen järveen,joka tulesta	NULL
Holy-Bible---Flemish---Flemish-De-Jonge-Bible	0			hel,helsche,helle								NULL
Holy-Bible---French---Bonnet-Bovet-Bible	0		l'éternité,éternelle,éternel,éternellement,siècles,monde,toujours,jamais,siècle,éternels,éternité,éternelles,âges,depuis longtemps,permanente,tout temps	enfer,séjour des morts,géhenne,l'étang de feu,abîmes de ténèbres	enfer,séjour des morts,géhenne,l'étang de feu	enfer,enfers,séjour des morts,profond des morts,sépulcre	enfer,géhenne	enfer,enfers,séjour des morts,profond des morts,sépulcre,O mort	enfer,abîmes de ténèbres	l'abîme	l'étang de feu,dans l'étang ardent de feu	NULL
Holy-Bible---French---Free-for-the-World	0		l'éternité,éternelle,éternel,éternellement,siècles,monde,toujours,jamais,siècle,éternels,éternité,éternelles,âges,depuis longtemps,permanente,tout temps	enfer,séjour des morts,géhenne,l'étang de feu,abîmes de ténèbres	enfer,séjour des morts,géhenne,l'étang de feu	enfer,enfers,séjour des morts,profond des morts,sépulcre	enfer,géhenne	enfer,enfers,séjour des morts,profond des morts,sépulcre,O mort	enfer,abîmes de ténèbres	l'abîme	l'étang de feu,dans l'étang ardent de feu	NULL
Holy-Bible---French---French-Crampon-Bible	0		l'éternité,éternelle,éternel,éternellement,siècles,monde,toujours,jamais,siècle,éternels,éternité,éternelles,âges,depuis longtemps,permanente,tout temps	enfer,séjour des morts,géhenne,l'étang de feu,abîmes de ténèbres	enfer,séjour des morts,géhenne,l'étang de feu	enfer,enfers,séjour des morts,profond des morts,sépulcre	enfer,géhenne	enfer,enfers,séjour des morts,profond des morts,sépulcre,O mort	enfer,abîmes de ténèbres	l'abîme	l'étang de feu,dans l'étang ardent de feu	NULL
Holy-Bible---French---French-Crampon-Bible-New	0		l'éternité,éternelle,éternel,éternellement,siècles,monde,toujours,jamais,siècle,éternels,éternité,éternelles,âges,depuis longtemps,permanente,tout temps	enfer,séjour des morts,géhenne,l'étang de feu,abîmes de ténèbres	enfer,séjour des morts,géhenne,l'étang de feu	enfer,enfers,séjour des morts,profond des morts,sépulcre	enfer,géhenne	enfer,enfers,séjour des morts,profond des morts,sépulcre,O mort	enfer,abîmes de ténèbres	l'abîme	l'étang de feu,dans l'étang ardent de feu	NULL
Holy-Bible---French---French-Darby-Bible	0		l'éternité,éternelle,éternel,éternellement,siècles,monde,toujours,jamais,siècle,éternels,éternité,éternelles,âges,depuis longtemps,permanente,tout temps	enfer,séjour des morts,géhenne,l'étang de feu,abîmes de ténèbres	enfer,séjour des morts,géhenne,l'étang de feu	enfer,enfers,séjour des morts,profond des morts,sépulcre	enfer,géhenne	enfer,enfers,séjour des morts,profond des morts,sépulcre,O mort	enfer,abîmes de ténèbres	l'abîme	l'étang de feu,dans l'étang ardent de feu	NULL
Holy-Bible---French---French-Khan-Bible	0		l'éternité,éternelle,éternel,éternellement,siècles,monde,toujours,jamais,siècle,éternels,éternité,éternelles,âges,depuis longtemps,permanente,tout temps	enfer,séjour des morts,géhenne,l'étang de feu,abîmes de ténèbres	enfer,séjour des morts,géhenne,l'étang de feu	enfer,enfers,séjour des morts,profond des morts,sépulcre	enfer,géhenne	enfer,enfers,séjour des morts,profond des morts,sépulcre,O mort	enfer,abîmes de ténèbres	l'abîme	l'étang de feu,dans l'étang ardent de feu	NULL
Holy-Bible---French---French-Louis-Segond-1910-Bible	0		l'éternité,éternelle,éternel,éternellement,siècles,monde,toujours,jamais,siècle,éternels,éternité,éternelles,âges,depuis longtemps,permanente,tout temps	enfer,séjour des morts,géhenne,l'étang de feu,abîmes de ténèbres	enfer,séjour des morts,géhenne,l'étang de feu	enfer,enfers,séjour des morts,profond des morts,sépulcre	enfer,géhenne	enfer,enfers,séjour des morts,profond des morts,sépulcre,O mort	enfer,abîmes de ténèbres	l'abîme	l'étang de feu,dans l'étang ardent de feu	NULL
Holy-Bible---French---French-LXX	0		l'éternité,éternelle,éternel,éternellement,siècles,monde,toujours,jamais,siècle,éternels,éternité,éternelles,âges,depuis longtemps,permanente,tout temps	enfer,séjour des morts,géhenne,l'étang de feu,abîmes de ténèbres	enfer,séjour des morts,géhenne,l'étang de feu	enfer,enfers,séjour des morts,profond des morts,sépulcre	enfer,géhenne	enfer,enfers,séjour des morts,profond des morts,sépulcre,O mort	enfer,abîmes de ténèbres	l'abîme	l'étang de feu,dans l'étang ardent de feu	NULL
Holy-Bible---French---French-LXX-TheoTex	0		l'éternité,éternelle,éternel,éternellement,siècles,monde,toujours,jamais,siècle,éternels,éternité,éternelles,âges,depuis longtemps,permanente,tout temps	enfer,séjour des morts,géhenne,l'étang de feu,abîmes de ténèbres	enfer,séjour des morts,géhenne,l'étang de feu	enfer,enfers,séjour des morts,profond des morts,sépulcre	enfer,géhenne	enfer,enfers,séjour des morts,profond des morts,sépulcre,O mort	enfer,abîmes de ténèbres	l'abîme	l'étang de feu,dans l'étang ardent de feu	NULL
Holy-Bible---French---French-Martin			l'éternité,éternelle,éternel,éternellement,siècles,monde,toujours,jamais,siècle,éternels,éternité,éternelles,âges,depuis longtemps,permanente,tout temps	enfer,séjour des morts,géhenne,l'étang de feu,abîmes de ténèbres	enfer,séjour des morts,géhenne,l'étang de feu	enfer,enfers,séjour des morts,profond des morts,sépulcre	enfer,géhenne	enfer,enfers,séjour des morts,profond des morts,sépulcre,O mort	enfer,abîmes de ténèbres	l'abîme	l'étang de feu,dans l'étang ardent de feu	NULL
Holy-Bible---French---French-Oltramare-Bible	0		l'éternité,éternelle,éternel,éternellement,siècles,monde,toujours,jamais,siècle,éternels,éternité,éternelles,âges,depuis longtemps,permanente,tout temps	enfer,séjour des morts,géhenne,l'étang de feu,abîmes de ténèbres	enfer,séjour des morts,géhenne,l'étang de feu	enfer,enfers,séjour des morts,profond des morts,sépulcre	enfer,géhenne	enfer,enfers,séjour des morts,profond des morts,sépulcre,O mort	enfer,abîmes de ténèbres	l'abîme	l'étang de feu,dans l'étang ardent de feu	NULL
Holy-Bible---French---French-Ostervald-Bible	0		l'éternité,éternelle,éternel,éternellement,siècles,monde,toujours,jamais,siècle,éternels,éternité,éternelles,âges,depuis longtemps,permanente,tout temps,derniers temps	enfer,séjour des morts,géhenne,l'étang de feu,abîmes de ténèbres	enfer,géhenne,l'étang de feu	enfer,enfers,séjour des morts,profond des morts,sépulcre	enfer,géhenne	enfer,enfers,séjour des morts,profond des morts,sépulcre	enfer,dans l'abîme	l'abîme	l'étang de feu,dans l'étang ardent de feu	NULL
Holy-Bible---French---French-Perret-Gentil-Rilliet	0		l'éternité,éternelle,éternel,éternellement,siècles,monde,toujours,jamais,siècle,éternels,éternité,éternelles,âges,depuis longtemps,permanente,tout temps	enfer,séjour des morts,géhenne,l'étang de feu,abîmes de ténèbres	enfer,séjour des morts,géhenne,l'étang de feu	enfer,enfers,séjour des morts,profond des morts,sépulcre	enfer,géhenne	enfer,enfers,séjour des morts,profond des morts,sépulcre,O mort	enfer,abîmes de ténèbres	l'abîme	l'étang de feu,dans l'étang ardent de feu	NULL
Holy-Bible---French---French-Stapfer-Bible	0		l'éternité,éternelle,éternel,éternellement,siècles,monde,toujours,jamais,siècle,éternels,éternité,éternelles,âges,depuis longtemps,permanente,tout temps	enfer,séjour des morts,géhenne,l'étang de feu,abîmes de ténèbres	enfer,séjour des morts,géhenne,l'étang de feu	enfer,enfers,séjour des morts,profond des morts,sépulcre	enfer,géhenne	enfer,enfers,séjour des morts,profond des morts,sépulcre,O mort	enfer,abîmes de ténèbres	l'abîme	l'étang de feu,dans l'étang ardent de feu	NULL
Holy-Bible---French---French-Synodale-Bible	0		l'éternité,éternelle,éternel,éternellement,siècles,monde,toujours,jamais,siècle,éternels,éternité,éternelles,âges,depuis longtemps,permanente,tout temps	enfer,séjour des morts,géhenne,l'étang de feu,abîmes de ténèbres	enfer,séjour des morts,géhenne,l'étang de feu	enfer,enfers,séjour des morts,profond des morts,sépulcre	enfer,géhenne	enfer,enfers,séjour des morts,profond des morts,sépulcre,O mort	enfer,abîmes de ténèbres	l'abîme	l'étang de feu,dans l'étang ardent de feu	NULL
Holy-Bible---French---Geneva-Bible	0		l'éternité,éternelle,éternel,éternellement,siècles,monde,toujours,jamais,siècle,éternels,éternité,éternelles,âges,depuis longtemps,permanente,tout temps	enfer,séjour des morts,géhenne,l'étang de feu,abîmes de ténèbres	enfer,séjour des morts,géhenne,l'étang de feu	enfer,enfers,séjour des morts,profond des morts,sépulcre	enfer,géhenne	enfer,enfers,séjour des morts,profond des morts,sépulcre,O mort	enfer,abîmes de ténèbres	l'abîme	l'étang de feu,dans l'étang ardent de feu	NULL
Holy-Bible---French---Vulgate-Glaire	0		l'éternité,éternelle,éternel,éternellement,siècles,monde,toujours,jamais,siècle,éternels,éternité,éternelles,âges,depuis longtemps,permanente,tout temps	enfer,séjour des morts,géhenne,l'étang de feu,abîmes de ténèbres	enfer,séjour des morts,géhenne,l'étang de feu	enfer,enfers,séjour des morts,profond des morts,sépulcre	enfer,géhenne	enfer,enfers,séjour des morts,profond des morts,sépulcre,O mort	enfer,abîmes de ténèbres	l'abîme	l'étang de feu,dans l'étang ardent de feu	NULL
Holy-Bible---Gamit---Gamit-Bible	0											NULL
Holy-Bible---Gamo---Gamo-Bible	0											NULL
Holy-Bible---Gamo---Gamo-Bible-Latin	0											NULL
Holy-Bible---Gamotso---Gamo	0											NULL
Holy-Bible---Gata---Gata-Didayi-Bible	0											NULL
Holy-Bible---Gayil---Gayl-Bible	0											NULL
Holy-Bible---Geji---Geji-Bible	0											NULL
Holy-Bible---German---German-Albrecht	0		ewige,ewigen,nimmermehr,ewiglich,ewigkeit,Welt,ewig,ewiges,derniers temps,zukünftigen Zeiten,ewiger	hölle,höllen,höllische,höllischen,den feurigen Pfuhl	hölle,höllen,höllische,höllischen,den feurigen Pfuhl,Tiefe fahren	hölle,höllen,höllische,höllischen,grube,Tode,Toten,Tod,Todes	hölle,höllen,höllische,höllischen	hölle,höllen,höllische,höllischen,grube,Tode,Toten,Tod,Todes	hölle,höllen,höllische,höllischen	Abgrund,Abgrunds,Tiefe fahren	den feurigen Pfuhl,der mit Feuer	NULL
Holy-Bible---German---German-Elberfelder-1871	0		ewige,ewigen,nimmermehr,ewiglich,ewigkeit,Welt,ewig,ewiges,derniers temps,zukünftigen Zeiten,ewiger	hölle,höllen,höllische,höllischen,den feurigen Pfuhl	hölle,höllen,höllische,höllischen,den feurigen Pfuhl,Tiefe fahren	hölle,höllen,höllische,höllischen,grube,Tode,Toten,Tod,Todes	hölle,höllen,höllische,höllischen	hölle,höllen,höllische,höllischen,grube,Tode,Toten,Tod,Todes	hölle,höllen,höllische,höllischen	Abgrund,Abgrunds,Tiefe fahren	den feurigen Pfuhl,der mit Feuer	NULL
